DateTime,PPM25,PPM10,MEAN25,MEAN10
2018-02-20 10:30:00,8.0,9.0,,
2018-02-20 10:45:00,8.0,9.0,,
2018-02-20 11:00:00,8.0,9.0,,
2018-02-20 11:15:00,8.0,9.0,,
2018-02-20 11:30:00,20.0,22.0,,
2018-02-20 11:45:00,20.0,22.0,,
2018-02-20 12:00:00,16.0,17.0,,
2018-02-20 12:15:00,11.0,13.0,,
2018-02-20 12:30:00,10.0,11.0,,
2018-02-20 12:45:00,10.0,11.0,,
2018-02-20 13:00:00,10.0,11.0,,
2018-02-20 13:15:00,9.0,10.0,,
2018-02-20 13:30:00,10.0,11.0,,
2018-02-20 13:45:00,9.0,10.0,,
2018-02-20 14:00:00,9.0,10.0,,
2018-02-20 14:15:00,9.0,10.0,,
2018-02-20 14:30:00,9.0,10.0,,
2018-02-20 14:45:00,10.0,11.0,,
2018-02-20 15:00:00,12.0,13.0,,
2018-02-20 15:15:00,12.0,14.0,,
2018-02-20 15:30:00,11.0,12.5,,
2018-02-20 15:45:00,11.0,12.0,,
2018-02-20 16:00:00,13.0,14.0,,
2018-02-20 16:15:00,12.0,13.0,,
2018-02-20 16:30:00,11.0,13.0,,
2018-02-20 16:45:00,12.0,14.0,,
2018-02-20 17:00:00,11.0,12.0,,
2018-02-20 17:15:00,10.0,12.0,,
2018-02-20 17:30:00,11.0,12.0,,
2018-02-20 17:45:00,11.0,12.0,,
2018-02-20 18:00:00,11.0,12.0,,
2018-02-20 18:15:00,10.0,12.0,,
2018-02-20 18:30:00,11.0,12.0,,
2018-02-20 18:45:00,12.0,14.0,,
2018-02-20 19:00:00,11.0,13.0,,
2018-02-20 19:15:00,10.0,11.0,,
2018-02-20 19:30:00,10.0,11.0,,
2018-02-20 19:45:00,9.0,10.0,,
2018-02-20 20:00:00,9.0,10.0,,
2018-02-20 20:15:00,8.0,9.0,,
2018-02-20 20:30:00,8.0,9.0,,
2018-02-20 20:45:00,8.0,9.0,,
2018-02-20 21:00:00,8.0,8.0,,
2018-02-20 21:15:00,7.0,8.0,,
2018-02-20 21:30:00,7.0,8.0,,
2018-02-20 21:45:00,8.0,8.0,,
2018-02-20 22:00:00,9.0,15.0,,
2018-02-20 22:15:00,8.0,12.5,,
2018-02-20 22:30:00,8.0,11.0,,
2018-02-20 22:45:00,8.0,10.5,,
